Accession,Description,_Coverage,_# Proteins,_# Unique Peptides,_# Peptides,_# PSMs,127/126,127/126 Count,127/126 Variability [%],128/126,128/126 Count,128/126 Variability [%],129/126,129/126 Count,129/126 Variability [%],130/126,130/126 Count,130/126 Variability [%],131/126,131/126 Count,131/126 Variability [%],Score A2,Coverage A2,# Peptides A2,# PSM A2,Score B2,Coverage B2,# Peptides B2,# PSM B2,Score C2,Coverage C2,# Peptides C2,# PSM C2,# AAs,MW [kDa],calc. pI
A0AVT1,Isoform 1 of Ubiquitin-like modifier-activating enzyme 6,23.57,6,17,17,64,0.937,22;-;25,1.4,1.003,22;-;25,,0.966,22;-;25,0.2,0.982,22;-;25,5.4,1.024,22;-;25,,95.01,21.77,15,32,,,,,95.19,21.58,16,32,1052,117.9,6.14
A0FGR8,Isoform 2 of Extended synaptotagmin-2,33.59,9,24,24,77,1.073,28;-;28,6.5,0.921,28;-;28,,1.007,28;-;28,5,0.913,28;-;28,4.1,0.937,28;-;28,,107.16,29.34,20,38,,,,,113.09,27.66,20,39,893,98.8,8.68
A0MZ66,Isoform 4 of Shootin-1,21.86,11,9,10,13,1.059,7;-;3,13.8,1.479,7;-;3,,1.455,7;-;3,0.3,1.689,7;-;3,2.2,1.312,7;-;3,,25.95,15.23,7,8,,,,,11.43,12.72,5,5,558,63.5,5.6
A1A4S6,Rho GTPase-activating protein 10,14.5,3,11,11,17,1.03,9;-;3,1.2,0.779,9;-;3,,0.951,9;-;3,3.5,0.78,9;-;3,4.4,0.818,9;-;3,,33.04,13.36,10,12,,,,,17.23,8.14,5,5,786,89.3,7.18
A1L0T0,Isoform 1 of Acetolactate synthase-like protein,10.13,2,4,4,6,1.268,2;-;3,36.6,0.917,2;-;3,,1.058,2;-;3,10.9,1.091,2;-;3,20.8,0.936,2;-;3,,6.61,4.59,2,2,,,,,13.11,10.13,4,4,632,67.8,8.15
A1X283,SH3 and PX domain-containing protein 2B,0.66,1,1,1,2,1.277,1;-;-,,0.926,1;-;-,,0.831,1;-;-,,0.862,1;-;-,,0.925,1;-;-,,2.21,0.66,1,1,,,,,2.05,0.66,1,1,911,101.5,8.69
A2RRP1,Isoform 2 of Neuroblastoma-amplified sequence,7.37,5,12,12,18,0.977,9;-;5,10.6,0.922,9;-;5,,0.925,9;-;5,6.3,0.835,9;-;5,5,0.944,9;-;5,,31.58,5.29,9,11,,,,,20.25,3.95,6,7,2251,254.7,5.94
A2RTX5,"Isoform 2 of Probable threonyl-tRNA synthetase 2, cytoplasmic",6.79,3,4,5,6,1.351,2;-;1,36.3,1.182,2;-;1,,1.093,2;-;1,26.8,1.131,2;-;1,35.8,1.193,2;-;1,,10.74,6.22,4,4,,,,,0,1.41,1,2,707,81.5,6.24
A2RUS2,Isoform 1 of DENN domain-containing protein 3,9.08,9,12,12,19,1.017,4;-;4,8.8,0.867,4;-;4,,0.986,4;-;4,1.1,0.823,4;-;4,8,0.896,4;-;4,,28.43,6.96,9,10,,,,,20.06,5.79,9,9,1278,144.2,7.08
A3KMH1,204 kDa protein,1.22,5,2,2,2,,,,,,,,,,,,,,,,2.19,0.77,1,1,,,,,2.07,0.44,1,1,1809,204.1,7.02
