Compound,Number Passed,042111_08_01(raw),042111_08_02(raw),042111_08_03(raw),042111_09_01(raw),042111_09_02(raw),042111_09_03(raw),042111_10_01(raw),042111_10_02(raw),042111_10_03(raw),042111_11_01(raw),042111_11_02(raw),042111_11_03(raw),042111_12_01(raw),042111_12_02(raw),042111_12_03(raw),042111_13_01(raw),042111_13_02(raw),042111_13_03(raw),042111_14_01(raw),042111_14_02(raw),042111_14_03(raw),042111_15_01(raw),042111_15_02(raw),042111_15_03(raw),042111_16_01(raw),042111_16_02(raw),042111_16_03(raw),042111_17_01(raw),042111_17_02(raw),042111_17_03(raw),042111_19_01(raw),042111_19_02(raw),042111_19_03(raw),042111_20_01(raw),042111_20_02(raw),042111_20_03(raw),Annotations,Mass,Retention Time,CAS Number
202.0329@0.33260712,1,263741,276622,337241,1,269529,306785,221652,307375,326048,337858,1,272750,379199,318487,1,1,399859,416542,373971,263984,340868,1,442127,299565,391986,300174,1,435632,1,348083,320861,198281,232482,1,313537,218127,,202.0329,0.33260712,
174.0375@0.33451426,1,78435,88529,121073,93690,1,105835,79762,78010,119500,116460,86361,84214,91225,105556,126395,140029,134952,130134,90731,88969,67604,97573,191187,83770,98459,89538,70533,153261,128435,121422,153732,98262,85444,128599,113706,65680,,174.0375,0.33451426,
142.012@0.3335833,1,318908,371272,297537,330042,258972,311025,280841,270206,321174,311220,290355,262357,319516,327144,322105,331200,336139,320218,391255,275938,267639,311331,335163,316440,366963,298753,313132,438893,286766,324485,383248,275879,233558,239865,298702,284282,,142.012,0.3335833,
100.0009@0.33358333,1,42319,35074,34575,39598,37155,26287,37836,23976,31550,43888,30389,28748,38399,36451,40681,38238,38509,39938,28192,28647,30782,37337,39544,31233,42416,40929,32604,49796,35105,39580,30170,24927,30170,26319,30555,29436,,100.0009,0.33358333,
81.9906@0.33332258,1,36822,30341,30344,34351,29765,25261,27241,1,30104,35860,28414,26475,38959,33297,36021,40436,32735,35359,1,26299,30096,36068,34557,1,40743,30671,28203,40217,33375,1,36701,31784,27645,33094,1,24129,,81.9906,0.33332258,
942.9842@0.34920588,1,160507,132428,132212,137910,128680,175151,1,122892,124701,190141,126211,112310,131369,126064,122694,142377,125467,153071,1,120777,137986,156166,150115,127819,138831,137981,114029,142454,134701,123640,128728,124829,142680,134486,115954,157302,,942.9842,0.34920588,
Lysine,1,149631,149994,119503,134907,131547,120554,133088,124486,122201,102287,94407,88014,106603,101895,93152,125279,115400,116520,126762,122074,115317,127022,110307,109838,115961,115872,108797,89278,82231,82000,98340,85930,94786,120810,105053,115375,"Lysine [ C6 H14 N2 O2, db=85.61, overall=42.81, KEGG ID=C00047, CAS ID=56-87-1 ]",146.1052,0.34577778,56-87-1
261.9746@0.34792307,1,39628,29714,1,33034,30083,1,1,1,31301,31140,32613,1,36558,32229,1,1,33247,31468,40217,27899,27783,1,32658,38669,35654,28982,35119,1,29004,34319,26869,38994,29536,34460,33357,1,,261.9746,0.34792307,
327.9996@0.35123524,1,30397,22196,24002,31786,1,78862,30935,27831,86176,29624,29246,28894,33133,33147,33905,33190,33766,32408,31210,32231,30307,32757,30079,23017,33591,1,28303,37334,33960,27943,23386,24789,21319,26226,27861,28317,,327.9996,0.35123524,
410.0024@0.35388887,1,22597,21242,16361,25376,21932,18971,26162,21750,24881,23354,20925,33372,26700,32296,25456,31407,26452,28426,23468,28886,32149,28929,24192,23016,39326,25798,24699,28109,28387,26353,20296,17245,20046,23215,26111,17430,,410.0024,0.35388887,
492.0044@0.3583055,1,39074,37992,41161,70984,59151,63193,42103,65848,68825,44455,70088,71675,80588,44365,77650,53786,49075,49884,45927,65492,40213,73548,71546,66568,47875,42657,43452,77995,48216,78982,41018,34472,34677,39479,68457,67991,,492.0044,0.3583055,
671.9891@0.3621072,1,11437,10020,10536,10327,1,11283,23806,1,10862,1,9233,1,17112,10221,16345,12849,15490,16153,11926,1,14308,10842,11032,1,12272,9761,20464,25219,10116,16103,1,12016,1,12637,9422,9277,,671.9891,0.3621072,
574.0073@0.3586285,1,29162,27035,27912,28999,49854,27199,53257,28283,47200,31926,30475,26487,34879,30971,33570,37346,36040,35744,40360,29307,31447,32756,48486,1,52889,48252,49777,47685,33874,50800,39150,26865,23539,30171,49697,43928,,574.0073,0.3586285,
589.9859@0.36100003,1,15483,15374,15830,17244,13343,16145,24472,19342,21776,1,18383,1,20528,20019,20779,19203,14717,21110,22396,17297,15595,17450,16106,15273,24380,21062,19505,36061,20256,16485,20027,18183,14332,20410,16163,16418,,589.9859,0.36100003,
Inosine triphosphate,1,20464,18718,19851,23470,19143,22907,23561,19781,20497,23209,22221,18993,21627,22425,24586,24504,24863,23615,20921,19408,19255,24654,20520,20484,27940,24984,22227,54567,20079,24488,19395,25188,18813,26773,18971,19243,"Inosine triphosphate [ C10 H15 N4 O14 P3, db=53.73, overall=26.87, HMP ID=HMDB00189, KEGG ID= ]",507.9825,0.35863888,
656.0118@0.36025003,1,23934,24253,17229,31970,21584,1,23451,25380,1,32404,27486,33136,29810,35742,26291,29148,27369,34917,27329,29096,29440,42951,18900,1,30044,32829,16798,32819,28020,29135,19091,35510,19236,16631,1,25047,,656.0118,0.36025003,
738.0146@0.3612308,1,20358,20445,1,20511,18450,19109,1,17659,21729,19127,22546,17301,1,18846,22657,1,22287,28574,21181,19926,20923,21158,1,1,23074,19283,1,24131,24361,1,17499,18681,18884,1,1,19209,,738.0146,0.3612308,
